cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
asp isomerization,stability,charge variants,quality_outcome,correlates,4,4,high,Quantitation of isoaspartate in each of the isoforms indicated deamidation ... cause of charge heterogeneity.
low ph,formulation,stability,stability,destabilizes,4,4,high,Lowering the pH to 3.5 reduces the stability
elevated temperature,stress,biological activity,quality_outcome,decreases,4,4,high,the biological activity of INF was found to decrease with increasing temperature
air-liquid interface,stress,adsorption,stability,adsorbs,4,4,high,"Proteins are surface-active molecules that have a propensity to adsorb to hydrophobic interfaces, such as the air-liquid"
concentration,formulation,clearance,quality_outcome,modifies,4,3,high,"The unspecific clearance is linear, whenever therapeutic IgG concentrations ... are lower than FcRn"
methotrexate,formulation,immunogenicity,quality_outcome,correlates,4,3,high,Methotrexate significantly lowered incidence of anti-variable region antibodies at moderate mAb1 dose (P<0.05).
heat stress,stress,stability,stability,destabilizes,4,4,high,"When heat stressed samples were used, results showed method capability as stability indicating in IgG1 and IgG4 mixture "
immunogenicity,quality_outcome,binding affinity,quality_outcome,inhibits,4,4,high,these antibodies are almost exclusively neutralizing
aggregation,stability,stability,stability,decreases,4,4,high,"results are correlated with decreased pharmaceutical stability, supporting identification of a common aggregation hotspo"
light exposure,stress,deamidation,stability,deamidates,4,4,high,an increase in the ... deamidation ... was predominantly observed under light stress
ph,formulation,electrostatic properties,structure,modifies,4,4,high,"analysis of the effect of pH, buffer type, Hofmeister salts, and aromatic amino acids"
oxidative stress,stress,binding activity,quality_outcome,decreases,4,2,high,a significant decrease in Fc receptor binding was observed for all 3 oxidized forms.
n-glycosylation,formulation,glycan,structure,degrades,4,4,high,"Endoglycosidase H, which specifically cleaves the hybrid and high mannose type glycans."
higher-order structure,structure,fragmentation,stability,promotes,4,4,high,overall fragmentation pattern ... is a complex result of structural and solvent conditions
oxidation,sequence,charge variants,quality_outcome,induces,4,4,high,changes in the basic peaks were caused by both deamidation and oxidation
ph,formulation,charge heterogeneity,quality_outcome,modifies,4,4,high,the pH gradient caused the inconsistency of estimated pI ranges between cIEF and gel IEF
fab fragments,stress,fab fragments,structure,fragments,4,4,high,"Both pepsin and papain can be used to digest MAb to a bivalent molecule with a Mr of 100,000."
hydrophobic interaction,structure,adsorption,stability,adsorbs,4,4,high,when protein solutions contact hydrophobic interfaces
conformational stability,stability,binding affinity,quality_outcome,stabilizes,4,4,high,"produces an increase of the Fv domain stability, improving the binding to antigen"
histidine,sequence,fragmentation,stability,decreases,4,3,high,"degradation species ... at the hinge region amino acids, including ... His226"
aggregates,stability,binding affinity,quality_outcome,binds,4,4,high,"RF mAb 61 displayed a high affinity (Kd, 10(-7) M) for ... aggregated autologous Gm(a-),(g-) IgG"
high concentration,formulation,molecular crowding,structure,modifies,4,4,high,at high concentrations repulsive interactions are predominantly due to excluded volume
concentration,formulation,liquid-liquid phase separation,stability,induces,4,4,high,enhanced concentration fluctuations significantly contributed to the critical opalescence evidently by formation of smal
silicone oil-water interface,formulation,particle formation,quality_outcome,increases,4,4,high,the abatacept formulation with known silicone oil sensitivity also developed visible particles
aggregation,stability,safety and efficacy,quality_outcome,decreases,4,4,high,As aggregated MAbs compromise their safety and efficacy
elevated temperature,stress,acidic variants,quality_outcome,increases,4,3,high,showed an increase in acidic or pre-peak by cation exchange chromatography (CEX) at elevated temperatures
shear stress,stress,subvisible particle formation,quality_outcome,induces,4,3,high,generated notably less protein subvisible particles than the rotary piston pump
glycosylation pattern,sequence,half-life,stability,correlates,4,3,high,nor was any difference observed in the serum half-lives of different complex type glycoforms
formulation,formulation,colloidal stability,stability,stabilizes,4,4,high,loss of conformational stability was likely compensated by improvements in the colloidal stability of mAb1 in the argini
conformational change,structure,domain unfolding,structure,unfolds,4,2,high,This conformational change can occur in both variable and constant domains of the antibody
adsorption,formulation,partial unfolding,structure,induces,4,4,high,the protein is apparently destabilized forming a strongly-bound unfolded intermediate
glycosylation pattern,quality_outcome,glycosylation,quality_outcome,modifies,4,4,medium,This opens the way for medium high throughput analysis of glycosylation
partial unfolding,structure,aggregation propensity,stability,promotes,4,4,medium,a conformational change to an aggregation-prone intermediate state was necessary to initiate the association process
fcrn,structure,fcrn binding,quality_outcome,stabilizes,4,4,high,mediates maternal IgG transport
aggregation,stability,particle formation,quality_outcome,increases,4,4,high,precipitated aggregates accumulate at the bottom of vessels
light exposure,stress,oligomerization,stability,induces,4,4,high,soluble oligomers induced by significant light-exposure and carrying neo-epitopes induced a strong immune response
mutations (engineered antibody sequence changes),sequence,disulfide bond,structure,modifies,4,4,high,linked to each other by a disulfide bond engineered at position 44 of V(H) and position 105 of V(L)
aggregation,stability,safety,quality_outcome,decreases,4,4,high,"protein aggregation is a common issue that compromises the quality, safety, and efficacy of antibodies"
storage,stress,aggregation,stability,promotes,4,4,high,"aggregation ... can happen at different steps of the manufacturing process, including ... storage"
protein-protein interactions,structure,self-association,stability,promotes,4,4,high,protein-protein interactions (PPI) that lead to self - association in concentrated solutions.
freeze-thaw,stress,biological activity,quality_outcome,correlates,4,2,medium,"In freeze-thaw condition, change ... was -5.2+/-2.9% (P=0.001) for alirocumab at 9h."
ph,formulation,liquid-liquid phase separation,stability,modifies,4,4,high,nonmonotonic trends in pH dependence
sodium chloride,formulation,reversible self-association,stability,inhibits,4,3,high,lower NaCl elution concentrations ... could mitigate RSA
glass transition temperature,stress,aggregation,stability,prevents,4,3,high,Slower cooling with set-point and storage temperatures below T' has proven to be advantageous for the prevention of aggr
forced degradation,stress,degradation,stability,correlates,4,4,medium,specificity (by forced degradation studies)
excipients,formulation,charge variants,quality_outcome,modifies,4,4,high,we further characterized the assay with respect to (ii) the effect of excipients and buffering agents
conformational stability,stability,higher-order structure,structure,correlates,4,4,medium,evaluation of conformational stability differences may serve as an effective surrogate to monitor differences in higher-
stress conditions,stress,fragmentation,stability,prevents,4,4,high,Results show that trastuzumab was resistant to the process shear stresses applied and to microencapsulation processes.
glycosylation pattern,sequence,antibody-dependent cellular cytotoxicity (ADCC),quality_outcome,induces,4,4,high,Defucosylated anti-CCR4 monoclonal antibody (KW-0761) ... markedly enhances antibody-dependent cellular cytotoxicity
n-glycosylation,sequence,complement-dependent cytotoxicity (CDC),quality_outcome,modifies,4,4,high,Complement-dependent cytotoxicity (CDC) was attenuated by BLX-300 relative to rituximab.
disulfide bond,structure,oligomerization,stability,does not require,4,4,high,predominant species were nonreducible ... occurred through processes other than intermolecular disulfide bond formation
complement in serum,stress,biological activity,quality_outcome,prevents,4,1,high,Complement in serum blocked NK activation induced by rituximab
asp isomerization,sequence,higher-order structure,structure,modifies,4,4,high,Changes in near-UV CD spectra ... suggest local perturbations
particle formation,stress,aggregation,stability,promotes,4,4,medium,contamination by particulates ... could be much more important causes of aggregation than shear exposure during producti
concentration,quality_outcome,efficacy,quality_outcome,correlates,4,4,high,ADCC activity is the main anti-tumour effect observed at clinically achievable concentrations of Cetuximab at the tumour
aggregation,stability,particle size,stability,correlates,4,3,high,only certain sizes of aggregates are populated in the solution
ionic strength,formulation,opalescence,quality_outcome,decreases,4,2,high,"turned opalescent in a low ionic strength condition, followed by liquid-liquid phase separation"
amino acid sequence,sequence,domain swap,structure,induces,4,2,high,Substitution of 5 to 7 residues for those of the wild type produced a significant fraction of domain-exchanged molecules
melting temperature,stability,aggregation,stability,inhibits,4,4,medium,Role of protein thermodynamic stability in aggregation was deduced from differential scanning calorimetry (DSC)
glycan,structure,glycan,structure,correlates,4,4,high,The triantennary structures were present as trisialo and tetrasialo forms without fucose.
elevated temperature,stress,denaturation,stability,induces,4,4,high,using intrinsic tryptophan fluorescence spectroscopy for monitoring the denaturation and folding of proteins ... thermal
oxidation,stability,stability,stability,destabilizes,4,4,high,"Certain PTMs may affect bioactivity, stability or pharmacokinetics and pharmacodynamics profile"
post-translational modifications,sequence,biological activity,quality_outcome,modifies,4,4,high,"Certain PTMs may affect bioactivity, stability or pharmacokinetics and pharmacodynamics profile"
ph,formulation,aggregation rate,stability,modifies,4,4,medium,kobs were determined from isothermal kinetic studies for a range of pH ... conditions at several temperatures.
oligomerization,stability,higher-order structure,structure,modifies,4,2,high,"Light-induced dimers, exhibiting various different conformations, were the most stable dimers."
forced degradation,stress,fragmentation,stability,induces,4,4,high,"Many anticipated breakdown products were identified, including... heavy chain polypeptide hydrolysis product (15,521 Da)"
stress conditions,stress,conformational stability,stability,modifies,4,3,high,"collect protein physical stability data as function of temperature, agitation, ionic strength and/or solution pH"
binding activity,structure,conformational change,structure,modifies,4,4,high,Ligand-induced intrinsic fluorescence quenching showed a hypsochromic shift for mAb FL43.1
adsorption,stress,air-liquid interface,stability,correlates,4,4,medium,Our simulations indicate the presence of a secondary diffused layer near the interface.
antigen binding,structure,higher-order structure,structure,modifies,4,4,high,antigen binding induces a significant change in the dynamical structure of H3
glycan content,sequence,binding affinity,quality_outcome,correlates,4,3,high,The bisec-EGFR mAb had a higher binding affinity for human FcgammaRIa and FcgammaRIIIa-158F than the wild type EGFR mAb.
low ph,stress,conformational stability,structure,destabilizes,4,4,high,more structured intermediate ... exhibited maximal accumulation at pH 3
charge variants,quality_outcome,pharmacokinetics,quality_outcome,correlates,4,4,high,were not sufficient to result in PK changes; no difference in serum PK was observed
glycosylation,formulation,n-glycosylation,sequence,modifies,4,4,high,"By comparison of molecular masses and peptide maps for the fully glycosylated and deglycosylated samples, the N-linked g"
concentration,formulation,thermal stability,stability,stabilizes,4,4,medium,DSC thermograms and CD thermal experiments suggest a minor degree of stabilization (approximately 2 degrees C) for both 
molecular crowding,formulation,self-association,structure,promotes,4,4,high,aggregation or self-association of the recombinant MAbs upon heating in crowded solutions
fragmentation,structure,degradation,stability,degrades,4,4,high,Cu(2+) mediated fragmentation was determined to be predominantly via a hydrolytic pathway in solution
thermal stress,stress,aggregation kinetics,stability,promotes,4,4,high,monitor the kinetics of aggregate growth under thermal stress
thermal stress,stress,particle size,quality_outcome,modifies,4,4,high,"Particle size and count data show concentration- and treatment-dependent behaviour of aggregate counts, morphological de"
n-glycosylation,formulation,deglycosylation,sequence,degrades,4,4,high,"""mab R24 was subjected to both enzymatic deglycosylation using PNGase F"""
surfactant,formulation,surfactant,formulation,modifies,4,4,high,The analysis showed there are different stages of mAb-SDS interaction as the SDS concentration increases
fcrn,structure,degradation,stability,inhibits,4,3,high,are protected from degradation by the Brambell's receptor (FcRn).
sodium chloride,formulation,solubility,stability,modifies,4,4,high,All these precipitants show a similar behavior of decreasing solubility with increasing precipitant concentration.
binding affinity,sequence,complex stability,stability,stabilizes,4,2,high,Antibody-374 exhibited the most advantageous G (-36.67kcal/mol)... These antibodies surpassed the wild-type docked model
aggregation,stability,instability,stability,destabilizes,4,4,high,aggregation with concomitant loss of stability were accelerated at 30 degrees C
oxidation,stress,binding activity,quality_outcome,correlates,4,4,high,This effect is more pronounced if the oxidation is performed at pH 5.6 and 25 degrees C instead of pH 4.6 and 0 degree C
route of administration,formulation,immunogenicity,quality_outcome,correlates,4,4,high,The route of administration ... was not a statistically significant factor in the incidence of anti-TNT antibody.
controlled nucleation,stress,specific surface area,quality_outcome,decreases,4,4,high,controlled nucleation yielded ... significantly lower specific surface areas
aggregation,stability,binding affinity,quality_outcome,modifies,4,4,high,which reduces affinity cross-capture of mAbs by multiple conjugates
oxidative stress,stability,degradation,stability,promotes,4,4,high,"Met could then bind to the produced free radicals, thus partially protecting mAb-X from degradation."
thermal stress,stress,oligomerization,stability,promotes,4,3,high,Aggregation was induced by thermal stress at 42 degrees C for 6h under physiological pH.
storage temperature,stress,particle size,stability,prevents,4,4,high,No difference was noticed in the hydrodynamic diameter of RTX
buffer composition,formulation,conformational stability,structure,correlates,4,3,high,they remain essentially unchanged under conditions with ... 100-600 mM NaSCN
lyophilization,formulation,stability,stability,stabilizes,4,4,high,Lyophilization of protein formulations is an essential tool for stabilization
domain unfolding,structure,aggregation,stability,promotes,4,3,high,the unfolding of either the crystallizable fragment (Fc) ... has been implicated in aggregation
ultrafiltration-diafiltration,formulation,ultrafiltration-diafiltration,quality_outcome,modifies,4,3,high,the gel flux model and the associated minimum DF time were not predictive
formulation,formulation,long-term stability,stability,stabilizes,4,4,high,The long-term stability of the self-buffered liquid mAb1 formulation ... was comparable to the conventionally buffered .
higher-order structure,structure,storage stability,stability,correlates,4,4,high,maintenance of secondary structure is an important factor in predicting storage stability
surface coverage,structure,binding activity,quality_outcome,decreases,4,4,high,The binding of the conjugates to WN increased with increasing surface density of LL2 up to 40 monoclonal antibodies/emul
tixagevimab and cilgavimab preexposure prophylaxis,formulation,biological activity,stability,stabilizes,4,1,high,proportion of SOTRs with any nAb increased against BA.2 (47%-100%; P < .01)
body weight,formulation,clearance,quality_outcome,modifies,4,4,high,"Body weight, antibody-to-golimumab status, baseline C-reactive protein level, and smoking status were identified as sign"
antidrug antibodies,quality_outcome,clearance,quality_outcome,modifies,4,4,high,"Body weight, antibody-to-golimumab status, baseline C-reactive protein level, and smoking status were identified as sign"
light exposure,stress,conformational change,structure,modifies,4,3,high,identified local segments with increased flexibility in C2 and C3 domains
osmolyte,formulation,aggregation,stability,stabilizes,4,3,medium,"Osmolytes such as trehalose, sucrose, and glycine are widely used."
concentration,formulation,buffer capacity,formulation,correlates,4,2,high,"buffer capacity results indicated that the mAbs possessed a significant amount of buffer capacity, which increased linea"
charge distribution,structure,binding activity,quality_outcome,requires,4,3,medium,charge complementarity at the combining site is an important requirement for hapten binding.
n-glycosylation,sequence,fragmentation,stability,correlates,4,3,high,Oligosaccharides did not affect hinge region fragmentation in the pH range of 5-9
immunogenicity,quality_outcome,fab fragments,structure,binds,4,3,high,Testing against an unrelated human Fab fragment revealed positive results
elevated temperature,stress,aggregation kinetics,stability,modifies,4,4,high,quantification of the stability ratio gives important physical insights... including the Arrhenius dependence of the agg
oxidation,stress,tryptophan oxidation,sequence,oxidizes,4,4,high,"""Besides the oxidation of Met, Trp and His residues"""
binding activity,structure,self-association,structure,modifies,4,4,high,both cation and anion from a salt to modulate protein-protein interactions through their specific binding to the protein
fragmentation,stability,efficacy,quality_outcome,decreases,4,4,high,had significantly reduced anti-tumor efficacy in a mouse xenograft tumor model
high concentration,formulation,opalescence,quality_outcome,increases,4,4,high,increasing the mAb concentration above the apparent critical concentration both opalescence and viscosity can be simulta
self-association,stability,self-association,stability,correlates,4,4,high,"Additionally, 2 self-association assays correlated with each other"
sodium chloride,formulation,colloidal stability,stability,destabilizes,4,4,high,decreased the colloidal stability due to charge screening of the repulsive interactions
stress conditions,stress,oxidation,stability,induces,4,4,high,"""damaging secondary effects of gamma irradiation ... free radical damage"""
excipients,formulation,biological activity,stability,stabilizes,4,4,medium,"""protection from free radical damage ... through the use of the antioxidant ascorbate"""
lyophilization,formulation,biological activity,stability,stabilizes,4,4,high,"""synergy of these two approaches that results in quantitative recovery of functional activity"""
stress conditions,stress,glycan content,quality_outcome,modifies,4,3,high,The mannose content decreased with increasing stress.
disulfide bond,structure,free sulfhydryl groups,structure,prevents,4,3,high,"Native IgG mAb's, with completely formed disulfide bonds, should not bear any free sulfhydryl."
oxidation,stability,biological activity,quality_outcome,decreases,4,4,medium,"Oxidation of biopharmaceuticals may affect their bioactivity, serum half-life, and (bio)chemical stability."
concentration,formulation,reversible self-association,stability,promotes,4,4,high,concentration-dependent reversible self-association (RSA) in a monoclonal antibody
glycation,sequence,acidic variants,quality_outcome,induces,4,4,high,"Deamidation, sialylation, glycation, and fragmentation were identified as the main modifications contributing to acidic "
sucrose,formulation,higher-order structure,stability,increases,4,3,high,Stabilizing concentrations of sucrose were found to decrease the internal motions of mAb-B.
ionic strength,formulation,binding activity,quality_outcome,modifies,4,3,high,had little effect on antigen binding
polysorbate 80,formulation,agitation stress,stability,stabilizes,4,4,high,Polysorbate 80 is widely used in protein formulations to protect protein against agitation-induced aggregation.
higher-order structure,structure,conformational stability,stability,correlates,4,4,high,their correlation with the protein's conformational stability are described within the pretransition range
n-glycosylation,sequence,glycosylation,sequence,modifies,4,4,high,"This finding, coupled with the remarkable transglycosylation activity ... permitted a highly selective glycoengineering "
hydrophobicity,structure,adsorption,quality_outcome,adsorbs,4,3,high,hydrophobic surfaces (low F(ad) values) from hydrophilic surfaces (high F(ad) values)
glycosylation,sequence,safety,quality_outcome,modifies,4,4,high,Glycosylation of mAbs directly impacts on their ... safety
hydrophobicity,structure,clearance,quality_outcome,increases,4,2,high,increased hydrophobicity ... drug clearance was found to be increased by >=2-fold
asymmetric fc engineering,sequence,binding affinity,quality_outcome,binds,4,1,high,"""asymmetric Fc engineering... can further improve the FcgammaR binding"""
antidrug antibodies,quality_outcome,pharmacokinetics,quality_outcome,modifies,4,4,high,Such ADAs could alter the plasma pharmacokinetics of the fusion protein
ionic strength,formulation,ionic strength,structure,modifies,4,4,high,"reduced Γ, which was captured by simulations accounting for electrostatic screening by ions"
immunogenicity,quality_outcome,immune complex formation,quality_outcome,induces,4,4,high,mice immunised ... so that they have anti-idiotypic responses ... will clear the mAbs ... as a result of immune complex 
conformational change,structure,fragmentation,stability,inhibits,4,4,medium,A relationship between the histidine-induced effects on unfolding pathway and the relative resistance to fragmentation i
conformational change,structure,conformational stability,stability,inhibits,4,4,high,all domains showed significant stability against thermal and chemical unfolding in their AFS.
heat stress,stress,protein unfolding,stability,promotes,4,4,high,"common stresses leading to antibody aggregation, mis-folding or unfolding ... include ... heat"
sucrose,formulation,protein stability,stability,stabilizes,4,4,high,"explored the role of the excipients polysorbate 80, sucrose, trehalose, and arginine on stabilising proteins"
methionine oxidation,sequence,charge variants,quality_outcome,induces,4,3,high,some to later (basic) eluting peaks
lyophilization,stress,lyophilized stability,stability,stabilizes,4,4,high,We varied the composition of the formulation as well as lyophilization parameters covering a large range of representati
stress conditions,stress,particle formation,quality_outcome,promotes,4,4,high,"environmental/mechanical stress condition (e.g., heat vs. agitation) was the most important factor in influencing the pa"
ph,formulation,particle formation,quality_outcome,modifies,4,3,medium,the presence of NaCl exhibited a pH and stress-dependent behavior resulting in promotion or inhibition mAb particle form
aggregation,stability,precipitation,stability,promotes,4,4,high,IgG3 Fc regions are self-aggregating and IgG3 molecules are frequently cryoprecipitable
protein-protein interactions,structure,aggregation,stability,promotes,4,4,medium,correlation of G' with protein-protein interactions and aggregation was used to understand aggregation behavior.
disulfide bond,structure,binding affinity,quality_outcome,correlates,4,4,high,"in vitro expressed antibody is correctly assembled, disulfide-bridged and shows identical antigen affinity."
thermal stress,stress,methionine oxidation,sequence,oxidizes,4,3,high,LC-MS analysis identified oxidation of the same methionine residue ... in the corresponding acidic fractions generated b
polysorbate 20,formulation,silicone oil interface,quality_outcome,increases,4,2,high,while increasing the number of silicone-oil droplets (PS-20 concentration dependant)
ionic strength,formulation,second virial coefficient,stability,modifies,4,4,high,"interplay of screening and charge fluctuations in inhomogeneous, patchy charge distribution"
methionine oxidation,sequence,methionine oxidation,sequence,promotes,4,4,medium,oxidation of one Met residue ... catalyzed the oxidation of the second Met residue on the same heavy chain.
charge distribution,structure,second virial coefficient,stability,modifies,4,4,high,"interplay of screening and charge fluctuations in inhomogeneous, patchy charge distribution"
surfactant,formulation,adsorption,stability,modifies,4,3,high,"presence or absence of a surfactant in the formulation, which defines the interaction between filter membrane and surfac"
thermal stress,stress,conformational change,structure,induces,4,4,high,changes in the amide I vibrational mode were assigned to an increase in unordered structure (random coil)
chemical stability,stability,biological activity,quality_outcome,decreases,4,4,high,Derivatives or conjugates with the greatest hydrolytic stability showed the least cytotoxicity.
glycan,sequence,binding activity,quality_outcome,correlates,4,4,high,"selectively occurs ... without altering their antigen binding activities, as shown by ELISA and FACS"
asp isomerization,sequence,conformational change,structure,destabilizes,4,3,high,suggest local perturbations in the structure of the isoAsp-containing antibody
fcrn binding,structure,degradation,stability,inhibits,4,4,high,recycling into plasma of FcRn-bound IgG and degradation of free endosomal IgG
storage temperature,stress,adsorption,stability,modifies,4,3,high,We find that the surface behaviors of proteins vary with storage temperature
aggregation,stability,yield,quality_outcome,decreases,4,4,high,Off-pathway aggregation was significantly reduced ... with 10-12-fold increase in the yield of the soluble protein.
chemical stability,stress,fragmentation,stability,promotes,4,4,high,Disulfide bond scrambling and beta-elimination are the two major mechanisms of the formation antibody fragments
freeze-thaw cycles,stress,degradation,stability,promotes,4,4,high,"IgG degradation was obtained by freeze-thawing cycles, pH-shift cycles, heating, shaking and metal-catalyzed oxidation."
polysorbate 20,formulation,stability,stability,stabilizes,4,4,high,"Pareto ranking analyses showed ... the most important factors affecting the selected responses ... were pH, NaCl, and Po"
controlled nucleation,stress,primary drying time,quality_outcome,decreases,4,4,high,ice nucleation at a product temperature of -5 degrees C significantly reduced primary drying time.
sodium chloride,formulation,self-association,stability,modifies,4,4,high,dramatic change of solution appearance for lysozyme as a function of NaCl concentration highlighted the importance of B2
higher-order structure,structure,asparagine deamidation,stability,promotes,4,3,high,the three-dimensional structure of the antibody reduced deamidation
arginine hydrochloride,formulation,viscosity,stability,decreases,4,4,high,Organic electrolytes Arg(HCl) and His(HCl) produced the largest viscosity reductions
excipients,formulation,lyophilized stability,stability,stabilizes,4,4,high,Reduced aggregation during storage was obtained by the addition of sufficient excipient to both stabilize solid-state pr
glycan,sequence,biological activity,quality_outcome,modifies,4,3,high,The role that carbohydrates play in antibody function and pharmacokinetics has made them important targets for modificat
excipients,formulation,monomer content,quality_outcome,modifies,4,4,high,leading to a stronger influence of PEG on larger protein species and thus an improved separation of monomer and aggregat
adsorption,stability,binding affinity,quality_outcome,modifies,4,3,high,Increased antibody affinity was partially due to a slower antibody desorption rate.
glass transition temperature,stress,lyophilization,quality_outcome,modifies,4,4,medium,which could dramatically increase the Tg' of the remaining solution.
intravenous administration,formulation,half-life,stability,correlates,3,3,high,Intravenously administered OKT3 has a half-life of approximately 18 hours and results in trough serum levels ranging fro
denaturation,formulation,melting temperature,stability,stabilizes,3,2,high,GdnHCl increased it [melting temperature] at low concentration.
thermal unfolding,stress,aggregation,stability,promotes,3,3,high,These proteins show extensive aggregation in aqueous buffers when subjected to thermal unfolding.
self-association,structure,second virial coefficient,quality_outcome,decreases,3,3,high,increase in attractive PPI with increasing solution pH; Second virial coefficient... decreased with increasing pH
soluble dna,sequence,binding activity,stability,inhibits,3,1,high,Binding of all phages selected on F14.6 was inhibited with 700 ng/ml soluble DNA.
immunogenicity,quality_outcome,anaphylaxis,quality_outcome,induces,3,3,high,Development of a human anti-mouse antibody (HAMA) which lead to serious problems such as anaphylaxis.
storage conditions,stress,oligomerization,stability,aggregates,3,3,high,Soluble protein aggregation consisting of non-covalent and disulfide-linked covalent dimers and trimers occurred during 
glycan,structure,charge heterogeneity,quality_outcome,correlates,3,2,high,charge heterogeneity of the H chain was not entirely attributed to the Fc
20 mg antibody dose,formulation,pharmacokinetics,quality_outcome,decreases,3,1,high,percentage of the injected dose of radioactivity in the liver decreased from 25% to 8% (24 h postinfusion)
hydrophobicity,structure,increased viscosity,stability,promotes,3,3,high,mitigate RSA and viscosity by reducing the IgG's surface hydrophobicity
shortened digestion time,stress,incomplete peptide cleavage,quality_outcome,induces,3,3,high,Shortening digestion time ... frequently result in incomplete peptide cleavages
dexamethasone,formulation,biological activity,quality_outcome,inhibits,3,2,high,"the corticosteroid triggered apoptosis of the hybridoma, which was observed as soon as 4 h after culturing cells in the "
light exposure,stress,histidine oxidation,sequence,oxidizes,3,2,high,Triply oxidized histidine in an IgG1 monoclonal antibody was noticed when exposed to ICH light conditions.
excipients,formulation,liquid-liquid phase separation,stability,promotes,3,2,medium,enable us to understand the usage of excipients to rationally induce or avoid liquid-liquid phase separation
asparagine deamidation,stability,biological activity,quality_outcome,decreases,3,3,high,Because those reactions may cause functional changes
polyethylene glycol (PEG),formulation,solubility,stability,decreases,3,3,high,All these precipitants show a similar behavior of decreasing solubility with increasing precipitant concentration.
covid-19 vaccination,formulation,immunogenicity,quality_outcome,correlates,3,1,high,ADA incidence for monoclonal antibodies ... was more than 3-fold higher in COVID-19 vaccinated participants compared to 
r21c11 monoclonal antibody,structure,binding activity,quality_outcome,inhibits,3,1,high,R21C11 ... inhibits ... ligand binding to alphaIIbbeta3
degradation,stability,biological activity,quality_outcome,modifies,3,3,high,have the potential to affect the safety and activity of therapeutic protein products.
cell culture conditions,formulation,glycosylation pattern,sequence,modifies,3,2,high,changes in the ... composition of the culture media ... will most likely result in changes in the site occupation and he
viscosity,structure,aggregation,stability,correlates,3,2,medium,extent of aggregation was consistent with solution rheology as understood in terms of changes in G' with protein concent
mutations (engineered antibody sequence changes),sequence,binding activity,quality_outcome,binds,3,3,high,two of these variants designed to reduce surface hydrophobicity were found to retain antigen binding compared to the par
aggregate amount,stability,viscosity,stability,increases,3,3,medium,small number of large clusters that are hypothesized to be the reason for the high experimental viscosity
freeze-thaw cycles,stress,higher-order structure,structure,increases,3,3,high,after two freeze-thaw cycles (24 degrees C to -80 degrees C) small changes in the structural ... properties of bevacizum
pharmacokinetics,formulation,binding activity,quality_outcome,modifies,3,3,high,"model describing the distribution, elimination, and binding kinetics of anti-Abeta mAbs and Abeta ... to address the com"
histidine,formulation,binding affinity,structure,binds,3,3,high,antibody showing approximately two to four additional interaction sites for d- versus l-histidine
glycan content,structure,glycosylation pattern,quality_outcome,modifies,3,3,high,"""lower percentage of aglycosylated glycoform G0"" and ""variations with respect to... glycosylation pattern"""
n-linked glycosylation,sequence,stability,stability,modifies,3,3,high,N-linked glycosylation in monoclonal antibodies (mAbs) is crucial for ... stability
aggregation propensity,formulation,viscosity,stability,increases,3,3,high,linear trend emerges between the pH of strongest attractive PPI and highest solution viscosity
partial unfolding,structure,partial unfolding,structure,correlates,3,3,high,These conformational features suggest that the protein might be referred to the class of native molten globules
galactosylation,sequence,binding activity,quality_outcome,requires,3,3,high,galactosylation... of IgG1 ... is critical for the interaction with FcgammaR.
conformational stability,stability,aggregation propensity,stability,modifies,3,3,high,local conformational stability and fluctuations of partially altered structures can influence the aggregation propensity
developability,sequence,physicochemical stability,stability,requires,3,3,medium,By simultaneously optimizing the antibody molecule in the light of these properties
surfactant,formulation,stability,stability,stabilizes,3,3,high,surfactants are utilized in MAb formulations as a stabilizer
high concentration,formulation,adsorption,stability,promotes,3,3,high,"A non-uniform triple layer was observed at 5000 mg/L, pH 7.4, suggesting mAb-1 adsorbed to the SiO surface as oligomers"
oligomerization,structure,viscosity,stability,correlates,3,3,high,Consistent with the viscosity behavior of elongated oligomeric structures that are not significantly dendrimeric or in a
buffer composition,formulation,monomer content,quality_outcome,stabilizes,3,3,high,"under the low pH condition, the ... purities of monoclonal antibodies were higher"
sucrose,formulation,lyophilized stability,stability,stabilizes,3,3,high,"phosphate buffered saline had the largest lyoprotective potential, alongside sucrose"
sucrose,formulation,glass transition temperature,stability,decreases,3,3,high,screen the effects of ... excipients such as sucrose ... on glass transition temperature
administration of xenogenic monoclonal antibodies,sequence,immunogenicity,quality_outcome,induces,3,1,high,The administration of xenogenic monoclonal antibodies ... generation of antibodies that can be directed against allotypi
shear stress,stress,increased aggregation,stability,increases,3,2,high,rapid aspiration/dispense cycles resulted in a strong increase in the number and sizes of aggregates for all three mAbs
freeze-drying,stress,aggregation,stability,increases,3,3,high,Freeze drying...an increase in noncovalent protein aggregation
trehalose,formulation,protein stability,stability,stabilizes,3,3,high,"explored the role of the excipients polysorbate 80, sucrose, trehalose, and arginine on stabilising proteins"
surfactant,formulation,denaturation,stability,inhibits,3,3,high,To counter ... denaturation ... surfactants are added to the formulations
thermal stress,stress,degradation,stability,promotes,3,3,high,previously known protein degradation due to high temperature formed during mechanical grinding
amino acid sequence,sequence,glycosylation,quality_outcome,modifies,3,3,high,N-terminal sequencing and LC/MS/MS analysis of the peptide suggested that Ser29 of the light chain was the modification 
